Repository	Tag	# of Vuls Originally	# of Vuls after Fix	Initial Audit	After i package-lock	After audit fix
xtend	v4.0.1	0	0	No Vul	No Vul	No Vul
xtend	v4.0.2	0	0	ERR	No Vul (Changed)	No Vul
ncp	v0.5.1	3	3	Vul Found	Vul Found	Vul Found
ncp	v0.6.0	3	3	Vul Found	Vul Found	Vul Found
ncp	v1.0.0	3	3	Vul Found	Vul Found	Vul Found
ncp	v1.0.1	3	3	Vul Found	Vul Found	Vul Found
ncp	v2.0.0	3	3	ERR	Vul Found (Changed)	Vul Found
jwtdecode	v3.0.0	0	0	No Vul	No Vul	No Vul
jwtdecode	v3.0.0-beta.2	0	0	No Vul	No Vul	No Vul
jwtdecode	v3.1.0	0	0	No Vul	No Vul	No Vul
jwtdecode	v3.1.1	0	0	No Vul	No Vul	No Vul
jwtdecode	v3.1.2	3	0	Vul Found	Vul Found	No Vul (Changed)
childprocesspromise	v2.1.0	8	8	Vul Found	Vul Found	Vul Found
childprocesspromise	v2.1.1	8	8	Vul Found	Vul Found	Vul Found
childprocesspromise	v2.1.2	8	8	Vul Found	Vul Found	Vul Found
childprocesspromise	v2.1.3	8	8	Vul Found	Vul Found	Vul Found
childprocesspromise	v2.2.0	8	8	ERR	Vul Found (Changed)	Vul Found
approotpath	2.2.0	20	20	Vul Found	Vul Found	Vul Found
approotpath	2.2.1	20	20	Vul Found	Vul Found	Vul Found
approotpath	3.0.0	3	20	Vul Found	Vul Found	Vul Found
approotpath	v2.0.0	20	20	Vul Found	Vul Found	Vul Found
approotpath	v2.1.0	3	3	ERR	Vul Found (Changed)	Vul Found
pump	v1.0.2	0	0	No Vul	No Vul	No Vul
pump	v1.0.3	0	0	No Vul	No Vul	No Vul
pump	v2.0.0	0	0	No Vul	No Vul	No Vul
pump	v2.0.1	0	0	No Vul	No Vul	No Vul
pump	v3.0.0	0	0	ERR	No Vul (Changed)	No Vul
oauth	0.9.11	0	0	No Vul	No Vul	No Vul
oauth	0.9.12	0	0	No Vul	No Vul	No Vul
oauth	0.9.13	0	0	No Vul	No Vul	No Vul
oauth	0.9.14	0	0	No Vul	No Vul	No Vul
oauth	0.9.15	0	0	ERR	No Vul (Changed)	No Vul
isplainobject	v3.0.1	0	0	No Vul	No Vul	No Vul
isplainobject	v4.0.0	0	0	No Vul	No Vul	No Vul
isplainobject	v4.1.0	0	0	No Vul	No Vul	No Vul
isplainobject	v4.1.1	0	0	No Vul	No Vul	No Vul
isplainobject	v5.0.0	0	0	ERR	No Vul (Changed)	No Vul
componentemitter	1.1.2	0	0	No Vul	No Vul	No Vul
componentemitter	1.1.3	0	0	No Vul	No Vul	No Vul
componentemitter	1.2.0	0	0	No Vul	No Vul	No Vul
componentemitter	1.2.1	0	0	No Vul	No Vul	No Vul
componentemitter	1.3.0	0	0	ERR	No Vul (Changed)	No Vul
koamount	1.3.0	9	9	Vul Found	Vul Found	Vul Found
koamount	1.3.1	4	9	Vul Found	Vul Found	Vul Found
koamount	2.0.0	9	9	Vul Found	Vul Found	Vul Found
koamount	3.0.0	9	9	Vul Found	Vul Found	Vul Found
koamount	4.0.0	4	4	ERR	Vul Found (Changed)	Vul Found
progressbarwebpackplugin	v1.11.0	1	1	ERR	Vul Found (Changed)	Vul Found
progressbarwebpackplugin	v1.12.0	0	0	No Vul	No Vul	No Vul
progressbarwebpackplugin	v1.12.1	0	0	No Vul	No Vul	No Vul
progressbarwebpackplugin	v2.0.0	0	0	No Vul	No Vul	No Vul
progressbarwebpackplugin	v2.1.0	0	0	No Vul	No Vul	No Vul
ini	v1.3.5	1	1	Vul Found	Vul Found	Vul Found
ini	v1.3.6	1	1	Vul Found	Vul Found	Vul Found
ini	v1.3.7	1	1	Vul Found	Vul Found	Vul Found
ini	v1.3.8	1	1	Vul Found	Vul Found	Vul Found
ini	v2.0.0	3	1	Vul Found	Vul Found	Vul Found
classnames	v2.2.4	0	0	No Vul	No Vul	No Vul
classnames	v2.2.5	0	0	No Vul	No Vul	No Vul
classnames	v2.2.6	0	0	No Vul	No Vul	No Vul
classnames	v2.3.0	0	0	No Vul	No Vul	No Vul
classnames	v2.3.1	1	0	Vul Found	Vul Found	No Vul (Changed)
serializejavascript	v3.1.0	0	0	No Vul	No Vul	No Vul
serializejavascript	v4.0.0	0	0	No Vul	No Vul	No Vul
serializejavascript	v5.0.0	0	0	No Vul	No Vul	No Vul
serializejavascript	v5.0.1	3	0	Vul Found	Vul Found	No Vul (Changed)
serializejavascript	v6.0.0	0	0	No Vul	No Vul	No Vul
envify	v3.3.1	2	2	Vul Found	Vul Found	Vul Found
envify	v3.4.0	2	2	Vul Found	Vul Found	Vul Found
envify	v3.4.1	2	2	Vul Found	Vul Found	Vul Found
envify	v4.0.0	2	2	Vul Found	Vul Found	Vul Found
envify	v4.1.0	2	2	ERR	Vul Found (Changed)	Vul Found
optimizecssassetswebpackplugin	v5.0.6	1	1	Vul Found	Vul Found	Vul Found
optimizecssassetswebpackplugin	v5.0.7	1	1	Vul Found	Vul Found	Vul Found
optimizecssassetswebpackplugin	v5.0.8	1	1	Vul Found	Vul Found	Vul Found
optimizecssassetswebpackplugin	v6.0.0	1	1	Vul Found	Vul Found	Vul Found
optimizecssassetswebpackplugin	v6.0.1	2	1	Vul Found	Vul Found	Vul Found
runsequence	v1.2.2	14	14	Vul Found	Vul Found	Vul Found
runsequence	v2.0.0	14	14	Vul Found	Vul Found	Vul Found
runsequence	v2.1.0	14	14	Vul Found	Vul Found	Vul Found
runsequence	v2.2.0	14	14	Vul Found	Vul Found	Vul Found
runsequence	v2.2.1	14	14	Vul Found	Vul Found	Vul Found
methods	v1.0.0	3	3	Vul Found	Vul Found	Vul Found
methods	v1.0.1	3	3	Vul Found	Vul Found	Vul Found
methods	v1.1.0	6	3	Vul Found	Vul Found	Vul Found
methods	v1.1.1	6	6	Vul Found	Vul Found	Vul Found
methods	v1.1.2	6	6	ERR	Vul Found (Changed)	Vul Found
htmlentities	v2.1.1	0	0	No Vul	No Vul	No Vul
htmlentities	v2.2.0	0	0	No Vul	No Vul	No Vul
htmlentities	v2.3.0	0	0	No Vul	No Vul	No Vul
htmlentities	v2.3.1	0	0	No Vul	No Vul	No Vul
htmlentities	v2.3.2	4	0	ERR	Vul Found (Changed)	No Vul (Changed)
raf	v3.1.0	7	7	Vul Found	Vul Found	Vul Found
raf	v3.2.0	7	7	Vul Found	Vul Found	Vul Found
raf	v3.3.0	7	7	Vul Found	Vul Found	Vul Found
raf	v3.4.0	7	7	Vul Found	Vul Found	Vul Found
raf	v3.4.1	7	7	ERR	Vul Found (Changed)	Vul Found
filesaver	1.3.8	0	0	No Vul	No Vul	No Vul
filesaver	2.0.0	0	0	ERR	No Vul (Changed)	No Vul
filesaver	2.0.4	7	7	Vul Found	Vul Found	Vul Found
filesaver	v2.0.2	8	8	Vul Found	Vul Found	Vul Found
filesaver	v2.0.4	7	7	Vul Found	Vul Found	Vul Found
flat	1.6.2	5	5	ERR	Vul Found (Changed)	Vul Found
flat	2.0.2	5	5	Vul Found	Vul Found	Vul Found
flat	3.0.1	5	4	Vul Found	Vul Found	Vul Found
flat	4.1.1	4	1	Vul Found	Vul Found	Vul Found
flat	5.0.2	1	1	Vul Found	Vul Found	Vul Found
passportoauth	v0.1.12	6	6	Vul Found	Vul Found	Vul Found
passportoauth	v0.1.13	6	6	Vul Found	Vul Found	Vul Found
passportoauth	v0.1.14	6	6	Vul Found	Vul Found	Vul Found
passportoauth	v0.1.15	6	6	Vul Found	Vul Found	Vul Found
passportoauth	v1.0.0	6	6	ERR	Vul Found (Changed)	Vul Found
webpacknodeexternals	v2.4.0	6	6	Vul Found	Vul Found	Vul Found
webpacknodeexternals	v2.5.0	6	6	Vul Found	Vul Found	Vul Found
webpacknodeexternals	v2.5.1	6	6	Vul Found	Vul Found	Vul Found
webpacknodeexternals	v2.5.2	6	6	Vul Found	Vul Found	Vul Found
webpacknodeexternals	v3.0.0	11	6	Vul Found	Vul Found	Vul Found
eslintpluginbabel	v5.1.0	1	1	Vul Found	Vul Found	Vul Found
eslintpluginbabel	v5.2.0	1	1	Vul Found	Vul Found	Vul Found
eslintpluginbabel	v5.2.1	1	1	Vul Found	Vul Found	Vul Found
eslintpluginbabel	v5.3.0	1	1	Vul Found	Vul Found	Vul Found
eslintpluginbabel	v5.3.1	3	1	ERR	Vul Found (Changed)	Vul Found
nodeemoji	v1.10.0	6	4	Vul Found	Vul Found	Vul Found
nodeemoji	v1.7.0	4	4	Vul Found	Vul Found	Vul Found
nodeemoji	v1.8.0	4	4	Vul Found	Vul Found	Vul Found
nodeemoji	v1.8.1	4	4	Vul Found	Vul Found	Vul Found
nodeemoji	v1.9.0	4	4	Vul Found	Vul Found	Vul Found
syncrequest	4.0.3	5	5	Vul Found	Vul Found	Vul Found
syncrequest	4.1.0	5	5	Vul Found	Vul Found	Vul Found
syncrequest	5.0.0	5	5	Vul Found	Vul Found	Vul Found
syncrequest	6.0.0	5	5	Vul Found	Vul Found	Vul Found
syncrequest	6.1.0	5	5	ERR	Vul Found (Changed)	Vul Found
isomorphicfetch	v2.1.2	0	0	No Vul	No Vul	No Vul
isomorphicfetch	v2.1.3	0	0	No Vul	No Vul	No Vul
isomorphicfetch	v2.2.0	0	0	No Vul	No Vul	No Vul
isomorphicfetch	v2.2.1	0	0	No Vul	No Vul	No Vul
isomorphicfetch	v3.0.0	0	0	ERR	No Vul (Changed)	No Vul
temp	v0.8.3	0	0	No Vul	No Vul	No Vul
temp	v0.9.0	0	0	No Vul	No Vul	No Vul
temp	v0.9.1	0	0	No Vul	No Vul	No Vul
temp	v0.9.2	0	0	No Vul	No Vul	No Vul
temp	v0.9.4	3	0	Vul Found	Vul Found	No Vul (Changed)
sourcemaploader	v1.1.3	1	1	Vul Found	Vul Found	Vul Found
sourcemaploader	v2.0.0	1	1	Vul Found	Vul Found	Vul Found
sourcemaploader	v2.0.1	1	1	Vul Found	Vul Found	Vul Found
sourcemaploader	v2.0.2	1	1	Vul Found	Vul Found	Vul Found
sourcemaploader	v3.0.0	3	1	Vul Found	Vul Found	Vul Found
mz	2.3.1	4	4	Vul Found	Vul Found	Vul Found
mz	2.4.0	4	4	Vul Found	Vul Found	Vul Found
mz	2.5.0	4	4	Vul Found	Vul Found	Vul Found
mz	2.6.0	4	4	Vul Found	Vul Found	Vul Found
mz	2.7.0	4	4	ERR	Vul Found (Changed)	Vul Found
deepextend	v0.4.1	6	6	Vul Found	Vul Found	Vul Found
deepextend	v0.4.2	6	6	Vul Found	Vul Found	Vul Found
deepextend	v0.5.0	6	6	Vul Found	Vul Found	Vul Found
deepextend	v0.5.1	1	6	Vul Found	Vul Found	Vul Found
deepextend	v0.6.0	1	1	ERR	Vul Found (Changed)	Vul Found
objectpath	v0.10.0	9	9	Vul Found	Vul Found	Vul Found
objectpath	v0.11.0	9	9	ERR	Vul Found (Changed)	Vul Found
objectpath	v0.9.1	9	9	Vul Found	Vul Found	Vul Found
objectpath	v0.9.2	9	9	Vul Found	Vul Found	Vul Found
objectpath	v0.9.3	9	9	Vul Found	Vul Found	Vul Found
nodeuuid	v1.4.4	4	4	Vul Found	Vul Found	Vul Found
nodeuuid	v1.4.5	4	4	Vul Found	Vul Found	Vul Found
nodeuuid	v1.4.6	4	4	Vul Found	Vul Found	Vul Found
nodeuuid	v1.4.7	4	4	Vul Found	Vul Found	Vul Found
nodeuuid	v3.0.0	4	4	ERR	Vul Found (Changed)	Vul Found
reduxthunk	v2.1.0	12	12	Vul Found	Vul Found	Vul Found
reduxthunk	v2.1.1	12	12	Vul Found	Vul Found	Vul Found
reduxthunk	v2.1.2	12	12	Vul Found	Vul Found	Vul Found
reduxthunk	v2.2.0	12	12	Vul Found	Vul Found	Vul Found
reduxthunk	v2.3.0	14	12	Vul Found	Vul Found	Vul Found
bcryptjs	2.2.2	3	3	Vul Found	Vul Found	Vul Found
bcryptjs	2.3.0	3	3	Vul Found	Vul Found	Vul Found
bcryptjs	2.4.0	3	3	Vul Found	Vul Found	Vul Found
bcryptjs	2.4.2	3	3	Vul Found	Vul Found	Vul Found
bcryptjs	2.4.3	3	3	ERR	Vul Found (Changed)	Vul Found
koacompose	2.5.1	6	6	Vul Found	Vul Found	Vul Found
koacompose	3.2.1	6	6	Vul Found	Vul Found	Vul Found
koacompose	4.0.0	6	6	Vul Found	Vul Found	Vul Found
koacompose	4.1.0	6	6	Vul Found	Vul Found	Vul Found
koacompose	v4.2.0	6	6	ERR	Vul Found (Changed)	Vul Found
deasync	v0.1.17	0	0	No Vul	No Vul	No Vul
deasync	v0.1.18	0	0	No Vul	No Vul	No Vul
deasync	v0.1.19	0	0	No Vul	No Vul	No Vul
deasync	v0.1.20	0	0	No Vul	No Vul	No Vul
deasync	v0.1.21	0	0	No Vul	No Vul	No Vul
sanitizefilename	v1.5.3	7	7	Vul Found	Vul Found	Vul Found
sanitizefilename	v1.6.0	7	7	Vul Found	Vul Found	Vul Found
sanitizefilename	v1.6.1	7	7	Vul Found	Vul Found	Vul Found
sanitizefilename	v1.6.2	7	7	Vul Found	Vul Found	Vul Found
sanitizefilename	v1.6.3	13	7	Vul Found	Vul Found	Vul Found
mockjs	1.0.0	21	21	Vul Found	Vul Found	Vul Found
mockjs	1.0.0-beta2	21	21	Vul Found	Vul Found	Vul Found
mockjs	1.0.1-beta1	21	21	Vul Found	Vul Found	Vul Found
mockjs	1.0.1-beta2	21	21	Vul Found	Vul Found	Vul Found
mockjs	1.0.1-beta3	21	21	ERR	Vul Found (Changed)	Vul Found
jestwatchtypeahead	v0.6.0	1	1	Vul Found	Vul Found	Vul Found
jestwatchtypeahead	v0.6.1	1	1	Vul Found	Vul Found	Vul Found
jestwatchtypeahead	v0.6.2	1	1	Vul Found	Vul Found	Vul Found
jestwatchtypeahead	v0.6.3	1	1	Vul Found	Vul Found	Vul Found
jestwatchtypeahead	v0.6.4	4	1	ERR	Vul Found (Changed)	Vul Found
proptypes	v15.6.1	6	6	Vul Found	Vul Found	Vul Found
proptypes	v15.6.2	6	6	Vul Found	Vul Found	Vul Found
proptypes	v15.7.0	6	6	Vul Found	Vul Found	Vul Found
proptypes	v15.7.1	7	6	Vul Found	Vul Found	Vul Found
proptypes	v15.7.2	24	7	ERR	Vul Found (Changed)	Vul Found
nopt	v4.0.0	1	1	Vul Found	Vul Found	Vul Found
nopt	v4.0.1	1	1	Vul Found	Vul Found	Vul Found
nopt	v4.0.2	1	1	Vul Found	Vul Found	Vul Found
nopt	v4.0.3	1	1	Vul Found	Vul Found	Vul Found
nopt	v5.0.0	4	1	Vul Found	Vul Found	Vul Found
resizeobserverpolyfill	1.4.0	8	8	Vul Found	Vul Found	Vul Found
resizeobserverpolyfill	1.4.1	8	8	Vul Found	Vul Found	Vul Found
resizeobserverpolyfill	1.4.2	8	8	Vul Found	Vul Found	Vul Found
resizeobserverpolyfill	1.5.0	8	8	Vul Found	Vul Found	Vul Found
resizeobserverpolyfill	1.5.1	21	8	Vul Found	Vul Found	Vul Found
inflection	v1.10.0	4	4	Vul Found	Vul Found	Vul Found
inflection	v1.11.0	4	4	Vul Found	Vul Found	Vul Found
inflection	v1.12.0	4	4	ERR	Vul Found (Changed)	Vul Found
inflection	v1.13.0	0	0	No Vul	No Vul	No Vul
inflection	v1.13.1	0	0	No Vul	No Vul	No Vul
es6promisify	v6.1.1	0	0	No Vul	No Vul	No Vul
es6promisify	v7.0.0	1	0	Vul Found	Vul Found	No Vul (Changed)
es6promisify	v7.0.0-beta.0	0	0	No Vul	No Vul	No Vul
es6promisify	v7.0.0-beta.1	0	0	No Vul	No Vul	No Vul
es6promisify	v7.0.0-beta.2	0	0	No Vul	No Vul	No Vul
deepdiff	v0.3.7	9	9	Vul Found	Vul Found	Vul Found
deepdiff	v0.3.8	9	9	Vul Found	Vul Found	Vul Found
deepdiff	v1.0.0	9	9	Vul Found	Vul Found	Vul Found
deepdiff	v1.0.1	9	9	Vul Found	Vul Found	Vul Found
deepdiff	v1.0.2	14	9	Vul Found	Vul Found	Vul Found
gruntcontribconcat	v0.4.0	21	21	Vul Found	Vul Found	Vul Found
gruntcontribconcat	v0.5.0	21	21	Vul Found	Vul Found	Vul Found
gruntcontribconcat	v0.5.1	20	21	Vul Found	Vul Found	Vul Found
gruntcontribconcat	v1.0.0	16	20	Vul Found	Vul Found	Vul Found
gruntcontribconcat	v1.0.1	16	16	ERR	Vul Found (Changed)	Vul Found
mkdirp	v0.5.2	20	20	Vul Found	Vul Found	Vul Found
mkdirp	v0.5.3	20	20	Vul Found	Vul Found	Vul Found
mkdirp	v0.5.4	20	20	Vul Found	Vul Found	Vul Found
mkdirp	v0.5.5	20	20	Vul Found	Vul Found	Vul Found
mkdirp	v1.0.4	20	20	Vul Found	Vul Found	Vul Found
gruntcontribclean	v0.6.0	1	1	Vul Found	Vul Found	Vul Found
gruntcontribclean	v0.7.0	1	1	Vul Found	Vul Found	Vul Found
gruntcontribclean	v1.0.0	1	1	Vul Found	Vul Found	Vul Found
gruntcontribclean	v1.1.0	1	1	Vul Found	Vul Found	Vul Found
gruntcontribclean	v2.0.0	15	1	Vul Found	Vul Found	Vul Found
hexletpairs	v1.0.13	1	1	Vul Found	Vul Found	Vul Found
hexletpairs	v1.0.14	1	1	Vul Found	Vul Found	Vul Found
hexletpairs	v1.0.15	1	1	Vul Found	Vul Found	Vul Found
hexletpairs	v1.1.0	1	1	Vul Found	Vul Found	Vul Found
hexletpairs	v1.1.1	8	1	Vul Found	Vul Found	Vul Found
global	v4.2.1	1	1	Vul Found	Vul Found	Vul Found
global	v4.3.0	1	1	Vul Found	Vul Found	Vul Found
global	v4.3.1	1	1	Vul Found	Vul Found	Vul Found
global	v4.3.2	1	1	Vul Found	Vul Found	Vul Found
global	v4.4.0	1	1	ERR	Vul Found (Changed)	Vul Found
bs58	3.0.0	0	0	No Vul	No Vul	No Vul
bs58	v3.1.0	0	0	No Vul	No Vul	No Vul
bs58	v3.2.0	0	0	No Vul	No Vul	No Vul
bs58	v4.0.0	0	0	No Vul	No Vul	No Vul
bs58	v4.0.1	0	0	ERR	No Vul (Changed)	No Vul
bytes	2.3.0	6	6	Vul Found	Vul Found	Vul Found
bytes	2.4.0	15	6	Vul Found	Vul Found	Vul Found
bytes	2.5.0	13	15	Vul Found	Vul Found	Vul Found
bytes	3.0.0	6	13	Vul Found	Vul Found	Vul Found
bytes	3.1.0	6	6	ERR	Vul Found (Changed)	Vul Found
immutabilityhelper	v2.9.1	7	7	Vul Found	Vul Found	Vul Found
immutabilityhelper	v3.0.0	18	7	Vul Found	Vul Found	Vul Found
immutabilityhelper	v3.0.1	13	13	Vul Found	Vul Found	Vul Found
immutabilityhelper	v3.0.2	8	8	Vul Found	Vul Found	Vul Found
immutabilityhelper	v3.1.1	7	7	Vul Found	Vul Found	Vul Found
columnify	1.5.0	6	3	Vul Found	Vul Found	Vul Found
columnify	1.5.1	5	6	Vul Found	Vul Found	Vul Found
columnify	1.5.2	4	5	Vul Found	Vul Found	Vul Found
columnify	1.5.3	4	4	Vul Found	Vul Found	Vul Found
columnify	1.5.4	4	4	ERR	Vul Found (Changed)	Vul Found
busboy	v0.2.12	0	0	No Vul	No Vul	No Vul
busboy	v0.2.13	0	0	No Vul	No Vul	No Vul
busboy	v0.2.14	0	0	No Vul	No Vul	No Vul
busboy	v0.3.0	0	0	No Vul	No Vul	No Vul
busboy	v0.3.1	0	0	ERR	No Vul (Changed)	No Vul
long	3.0.1	3	3	Vul Found	Vul Found	Vul Found
long	3.0.3	3	3	Vul Found	Vul Found	Vul Found
long	3.1.0	3	3	Vul Found	Vul Found	Vul Found
long	3.2.0	3	3	Vul Found	Vul Found	Vul Found
long	4.0.0	3	3	ERR	Vul Found (Changed)	Vul Found
crc	v3.4.4	5	5	Vul Found	Vul Found	Vul Found
crc	v3.5.0	5	5	Vul Found	Vul Found	Vul Found
crc	v3.6.0	5	5	Vul Found	Vul Found	Vul Found
crc	v3.7.0	5	5	Vul Found	Vul Found	Vul Found
crc	v3.8.0	21	5	Vul Found	Vul Found	Vul Found
hiredis	v0.2.0	0	0	No Vul	No Vul	No Vul
hiredis	v0.3.0	0	0	No Vul	No Vul	No Vul
hiredis	v0.4.0	0	0	No Vul	No Vul	No Vul
hiredis	v0.4.1	0	0	No Vul	No Vul	No Vul
hiredis	v0.5.0	0	0	ERR	No Vul (Changed)	No Vul
gruntcli	v1.3.2	0	0	No Vul	No Vul	No Vul
gruntcli	v1.4.0	0	0	No Vul	No Vul	No Vul
gruntcli	v1.4.1	0	0	No Vul	No Vul	No Vul
gruntcli	v1.4.2	0	0	No Vul	No Vul	No Vul
gruntcli	v1.4.3	0	0	ERR	No Vul (Changed)	No Vul
split2	v3.0.0	0	0	No Vul	No Vul	No Vul
split2	v3.1.0	0	0	No Vul	No Vul	No Vul
split2	v3.1.1	0	0	No Vul	No Vul	No Vul
split2	v3.2.0	0	0	No Vul	No Vul	No Vul
split2	v3.2.2	0	0	ERR	No Vul (Changed)	No Vul
colors	v1.3.0	0	0	No Vul	No Vul	No Vul
colors	v1.3.1	0	0	No Vul	No Vul	No Vul
colors	v1.3.2	0	0	No Vul	No Vul	No Vul
colors	v1.3.3	0	0	No Vul	No Vul	No Vul
colors	v1.4.0	5	0	Vul Found	Vul Found	No Vul (Changed)
eslintpluginstandard	v4.0.0	0	0	No Vul	No Vul	No Vul
eslintpluginstandard	v4.0.1	0	0	No Vul	No Vul	No Vul
eslintpluginstandard	v4.0.2	0	0	No Vul	No Vul	No Vul
eslintpluginstandard	v4.1.0	0	0	No Vul	No Vul	No Vul
eslintpluginstandard	v5.0.0	0	0	ERR	No Vul (Changed)	No Vul
unzip	v0.1.10	3	3	Vul Found	Vul Found	Vul Found
unzip	v0.1.11	3	3	ERR	Vul Found (Changed)	Vul Found
unzip	v0.1.6	3	3	Vul Found	Vul Found	Vul Found
unzip	v0.1.7	3	3	Vul Found	Vul Found	Vul Found
unzip	v0.1.8	3	3	Vul Found	Vul Found	Vul Found
convertsourcemap	v1.5.0	15	15	Vul Found	Vul Found	Vul Found
convertsourcemap	v1.5.1	15	15	Vul Found	Vul Found	Vul Found
convertsourcemap	v1.6.0	15	15	Vul Found	Vul Found	Vul Found
convertsourcemap	v1.7.0	15	15	Vul Found	Vul Found	Vul Found
convertsourcemap	v1.8.0	15	15	ERR	Vul Found (Changed)	Vul Found
tv4	v1.2.2	29	29	Vul Found	Vul Found	Vul Found
tv4	v1.2.3	29	29	Vul Found	Vul Found	Vul Found
tv4	v1.2.5	29	29	Vul Found	Vul Found	Vul Found
tv4	v1.2.6	29	29	Vul Found	Vul Found	Vul Found
tv4	v1.2.7	29	29	ERR	Vul Found (Changed)	Vul Found
concatstream	v1.3.2	0	0	No Vul	No Vul	No Vul
concatstream	v1.4.11	0	0	No Vul	No Vul	No Vul
concatstream	v1.6.1	0	0	No Vul	No Vul	No Vul
concatstream	v1.6.2	0	0	No Vul	No Vul	No Vul
concatstream	v2.0.0	0	0	ERR	No Vul (Changed)	No Vul
admzip	v0.5.2	0	0	No Vul	No Vul	No Vul
admzip	v0.5.3	0	0	No Vul	No Vul	No Vul
admzip	v0.5.4	2	0	Vul Found	Vul Found	No Vul (Changed)
admzip	v0.5.5	0	0	No Vul	No Vul	No Vul
admzip	v0.5.6	0	0	No Vul	No Vul	No Vul
base64js	v1.3.0	0	0	No Vul	No Vul	No Vul
base64js	v1.3.1	0	0	No Vul	No Vul	No Vul
base64js	v1.4.0	1	0	Vul Found	Vul Found	No Vul (Changed)
base64js	v1.5.0	1	1	Vul Found	Vul Found	Vul Found
base64js	v1.5.1	1	1	ERR	Vul Found (Changed)	Vul Found
httpstatus	v1.3.2	0	0	No Vul	No Vul	No Vul
httpstatus	v1.4.0	0	0	No Vul	No Vul	No Vul
httpstatus	v1.4.1	0	0	No Vul	No Vul	No Vul
httpstatus	v1.4.2	0	0	No Vul	No Vul	No Vul
httpstatus	v1.5.0	0	0	ERR	No Vul (Changed)	No Vul
clitable	v0.1.0	0	0	No Vul	No Vul	No Vul
clitable	v0.3.3	0	0	No Vul	No Vul	No Vul
clitable	v0.3.4	0	0	No Vul	No Vul	No Vul
clitable	v0.3.5	0	0	No Vul	No Vul	No Vul
clitable	v0.3.6	0	0	ERR	No Vul (Changed)	No Vul
gulpconcat	v2.5.0	6	6	Vul Found	Vul Found	Vul Found
gulpconcat	v2.5.1	6	6	Vul Found	Vul Found	Vul Found
gulpconcat	v2.5.2	6	6	Vul Found	Vul Found	Vul Found
gulpconcat	v2.6.0	6	6	Vul Found	Vul Found	Vul Found
gulpconcat	v2.6.1	6	6	ERR	Vul Found (Changed)	Vul Found
basicauth	v1.0.3	6	8	Vul Found	Vul Found	Vul Found
basicauth	v1.0.4	9	6	Vul Found	Vul Found	Vul Found
basicauth	v1.1.0	6	9	Vul Found	Vul Found	Vul Found
basicauth	v2.0.0	2	6	Vul Found	Vul Found	Vul Found
basicauth	v2.0.1	2	2	ERR	Vul Found (Changed)	Vul Found
slugify	v1.5.0	0	0	No Vul	No Vul	No Vul
slugify	v1.5.1	0	0	No Vul	No Vul	No Vul
slugify	v1.5.2	0	0	No Vul	No Vul	No Vul
slugify	v1.5.3	0	0	No Vul	No Vul	No Vul
slugify	v1.6.0	0	0	ERR	No Vul (Changed)	No Vul
nodestatic	v0.1.0	0	0	No Vul	No Vul	No Vul
nodestatic	v0.1.1	0	0	No Vul	No Vul	No Vul
nodestatic	v0.7.7	1	1	Vul Found	Vul Found	Vul Found
nodestatic	v0.7.8	1	1	Vul Found	Vul Found	Vul Found
nodestatic	v0.7.9	1	1	ERR	Vul Found (Changed)	Vul Found
extractzip	v1.6.7	6	7	Vul Found	Vul Found	Vul Found
extractzip	v1.6.8	6	6	Vul Found	Vul Found	Vul Found
extractzip	v1.7.0	3	6	Vul Found	Vul Found	Vul Found
extractzip	v2.0.0	3	3	Vul Found	Vul Found	Vul Found
extractzip	v2.0.1	3	3	ERR	Vul Found (Changed)	Vul Found
fastclick	v1.0.2	0	0	No Vul	No Vul	No Vul
fastclick	v1.0.3	0	0	No Vul	No Vul	No Vul
fastclick	v1.0.4	0	0	No Vul	No Vul	No Vul
fastclick	v1.0.5	0	0	No Vul	No Vul	No Vul
fastclick	v1.0.6	0	0	ERR	No Vul (Changed)	No Vul
optimist	0.5.0	3	3	Vul Found	Vul Found	Vul Found
optimist	0.5.1	3	3	Vul Found	Vul Found	Vul Found
optimist	0.5.2	3	3	Vul Found	Vul Found	Vul Found
optimist	0.6.0	3	3	Vul Found	Vul Found	Vul Found
optimist	0.6.1	3	3	ERR	Vul Found (Changed)	Vul Found
jsonfile	4.0.0	0	0	No Vul	No Vul	No Vul
jsonfile	5.0.0	0	0	No Vul	No Vul	No Vul
jsonfile	6.0.0	0	0	No Vul	No Vul	No Vul
jsonfile	6.0.1	0	0	No Vul	No Vul	No Vul
jsonfile	6.1.0	0	0	ERR	No Vul (Changed)	No Vul
which	v1.3.0	2	2	Vul Found	Vul Found	Vul Found
which	v1.3.1	2	2	Vul Found	Vul Found	Vul Found
which	v2.0.0	2	2	Vul Found	Vul Found	Vul Found
which	v2.0.1	2	2	Vul Found	Vul Found	Vul Found
which	v2.0.2	8	2	Vul Found	Vul Found	Vul Found
watch	v0.19.2	1	1	Vul Found	Vul Found	Vul Found
watch	v0.19.3	1	1	Vul Found	Vul Found	Vul Found
watch	v1.0.0	1	1	Vul Found	Vul Found	Vul Found
watch	v1.0.1	1	1	Vul Found	Vul Found	Vul Found
watch	v1.0.2	1	1	ERR	Vul Found (Changed)	Vul Found
webpacksources	v3.0.4	0	0	No Vul	No Vul	No Vul
webpacksources	v3.1.0	0	0	No Vul	No Vul	No Vul
