Repo	Tags	Times
typescript	v4.3.5|v4.4-beta|v4.3.4|v3.9.10|v4.0.8|	2021-06-30|2021-06-30|2021-06-17|2021-06-16|2021-06-16|
grunt	v1.4.1|v1.4.0|v1.3.0|v1.2.1|v1.2.0|	2021-05-24|2021-04-22|2020-08-18|2020-07-07|2020-07-03|
nodemon	v2.0.12|v2.0.11|v2.0.10|v2.0.9|v2.0.8|	2021-07-10|2021-07-09|2021-07-08|2021-06-30|2021-06-29|
imagesize	v1.0.0|v0.9.6|v0.9.7|v0.9.5|v0.9.4|	2021-04-14|2021-03-15|2021-03-15|2021-03-11|2021-02-24|
lintstaged	v11.1.1|v11.1.0|v11.0.1|v11.0.0|v10.5.4|	2021-07-24|2021-07-22|2021-07-13|2021-05-07|2021-02-06|
marked	v2.1.3|v2.1.2|v2.1.1|v2.1.0|v2.0.7|	2021-06-25|2021-06-22|2021-06-16|2021-06-15|2021-06-01|
babeleslint	v10.1.0|v11.0.0-beta.2|v10.0.3|v10.0.2|v11.0.0-beta.0|	2020-02-25|2019-12-10|2019-08-25|2019-06-17|2019-01-21|
htmlminifier	v4.0.0|v3.5.21|v3.6.0|v3.5.20|v3.5.19|	2019-04-02|2018-10-25|2018-10-24|2018-08-19|2018-07-13|
cssnano	cssnano@5.0.7|cssnano@5.0.6|cssnano@5.0.5|cssnano@5.0.4|css-size@5.0.3|	2021-07-20|2021-06-09|2021-05-28|2021-05-21|2021-05-19|
filetype	v16.5.3|v16.5.2|v16.5.1|v16.5.0|v16.4.0|	2021-08-03|2021-07-20|2021-07-10|2021-05-28|2021-05-05|
eslintpluginjsxa11y	v6.4.0|v6.4.1|v6.3.1|v6.3.0|v6.2.2|	2020-10-25|2020-10-25|2020-06-19|2020-06-17|2019-06-30|
send	0.17.1|0.17.0|0.16.2|0.16.1|0.16.0|	2019-05-10|2019-05-03|2018-02-07|2017-09-29|2017-09-27|
immutable	v4.0.0-rc.14|v4.0.0-rc.13|v4.0.0-rc.12|v4.0.0-rc.11|v4.0.0-rc.10|	2021-07-08|2021-07-05|2018-10-30|2018-10-26|2018-09-19|
sqlite3	v5.0.2|v5.0.1|v5.0.0|v4.2.0|v4.1.1|	2021-02-15|2020-09-09|2020-06-02|2020-04-21|2019-12-04|
tsloader	v9.2.5|v9.2.4|v9.2.3|v9.2.2|v8.3.0|	2021-08-03|2021-07-24|2021-06-06|2021-05-22|2021-05-19|
tslintconfigprettier	v1.18.0|v1.17.0|v1.16.0|v1.15.0|v1.14.0|	2019-02-04|2018-11-27|2018-11-13|2018-08-20|2018-07-20|
es6shim	0.35.6|0.35.5|0.35.4|0.35.3|0.35.2|	2020-10-14|2019-03-07|2018-10-29|2017-01-23|2016-12-03|
simplegit	v2.42.0|v2.41.2|v2.41.0|v2.41.1|v2.40.0|	2021-07-31|2021-07-29|2021-07-11|2021-07-11|2021-06-14|
codemirror	5.62.2|5.62.1|5.62.0|5.61.1|5.61.0|	2021-07-21|2021-07-20|2021-06-21|2021-05-20|2021-04-20|
polymerpolymer	v3.4.1|v3.4.0|v3.3.1|v2.8.0|v3.3.0|	2020-04-29|2020-04-23|2019-11-08|2019-06-24|2019-06-24|
reactdnd	v14.0.2|v14.0.0|v14.0.1|13.1.1|v13.0.1|	2021-03-22|2021-03-08|2021-03-07|2021-02-24|2021-02-23|
reactdndhtml5backend	v14.0.2|v14.0.0|v14.0.1|13.1.1|v13.0.1|	2021-03-22|2021-03-08|2021-03-07|2021-02-24|2021-02-23|
three	r131|r130|r129|r128|r127|	2021-08-04|2021-07-05|2021-05-27|2021-04-23|2021-03-31|
angular	v1.8.2|v1.8.1|v1.8.0|v1.7.9|v1.7.8|	2020-10-21|2020-10-05|2020-06-01|2019-11-19|2019-03-11|
angularanimate	v1.8.2|v1.8.1|v1.8.0|v1.7.9|v1.7.8|	2020-10-21|2020-10-05|2020-06-01|2019-11-19|2019-03-11|
less	v4.1.1|v4.1.0|v3.13.1|v4.0.0|v3.13.0|	2021-01-30|2021-01-09|2020-12-18|2020-12-18|2020-12-11|
expresssession	v1.17.2|v1.17.1|v1.17.0|v1.16.2|v1.16.0|	2021-05-19|2020-04-16|2019-10-10|2019-06-12|2019-04-11|
tsnode	v10.1.0|v10.0.0|v9.1.1|v9.1.0|v9.0.0|	2021-07-09|2021-05-23|2020-12-07|2020-12-03|2020-08-21|
chokidar	3.5.2|3.5.1|3.5.0|3.4.3|3.4.2|	2021-06-15|2021-01-15|2021-01-06|2020-10-13|2020-08-06|
buffer	v6.0.3|v6.0.2|v5.7.1|v6.0.1|v6.0.0|	2020-11-22|2020-11-09|2020-11-04|2020-11-04|2020-11-03|
log4js	v6.3.0|v6.2.1|v6.2.0|v6.1.2|v6.1.1|	2020-05-25|2020-04-20|2020-04-14|2020-02-11|2020-01-30|
yeomanenvironment	v3.5.0|v3.5.1|v3.4.1|v3.4.0|v3.3.0|	2021-07-05|2021-07-05|2021-05-23|2021-05-18|2021-04-30|
ioredis	v4.27.7|v4.27.6|v4.27.5|v4.27.4|v4.27.3|	2021-08-01|2021-06-13|2021-06-05|2021-06-04|2021-05-22|
uglifyjs	v3.14.1|v3.14.0|v3.13.10|v3.13.9|v3.13.8|	2021-07-27|2021-07-22|2021-06-27|2021-06-05|2021-05-26|
history	v5.0.0|v5.0.0-beta.9|v5.0.0-beta.8|v5.0.0-beta.6|v5.0.0-beta.7|	2020-06-12|2020-04-28|2020-04-16|2020-03-26|2020-03-26|
mqtt	v2.18.9|v4.2.7|v4.2.8|v4.2.6|v4.2.5|	2021-08-02|2021-06-21|2021-06-21|2020-11-24|2020-11-12|
validator	13.6.1|13.6.0|13.5.2|13.5.0|13.5.1|	2021-04-20|2021-04-18|2020-12-10|2020-11-30|2020-11-30|
alifdnext	1.23.21|build/1.23.21|1.23.20|build/1.23.20|1.23.19|	2021-08-04|2021-08-04|2021-07-30|2021-07-30|2021-07-28|
reacthotloader	v4.13.0|v4.12.20|v4.12.19|v4.12.18|v4.12.17|	2020-09-22|2020-03-14|2020-01-22|2019-11-16|2019-11-12|
apollolink	apollo-link-batch-http@1.2.14|apollo-link-batch@1.1.15|apollo-link-context@1.0.20|apollo-link-dedup@1.0.21|apollo-link-error@1.1.13|	2020-04-09|2020-04-09|2020-04-09|2020-04-09|2020-04-09|
apollolinkhttp	apollo-link-batch-http@1.2.14|apollo-link-batch@1.1.15|apollo-link-context@1.0.20|apollo-link-dedup@1.0.21|apollo-link-error@1.1.13|	2020-04-09|2020-04-09|2020-04-09|2020-04-09|2020-04-09|
iview	3.5.4|V3.5.3|V3.5.2|v3.5.1|v3.4.2|	2019-12-02|2019-11-04|2019-10-25|2019-09-17|2019-05-21|
elementui	v2.15.5|v2.15.4|v2.15.3|v2.15.2|v2.15.1|	2021-08-04|2021-08-03|2021-06-29|2021-05-28|2021-02-23|
nodemailer	v6.6.3|v6.6.1|v6.6.0|v6.5.0|v6.4.18|	2021-07-14|2021-05-23|2021-04-28|2021-02-26|2021-02-11|
vuetemplatecompiler	v2.6.14|v2.6.13|v2.6.12|v2.6.11|v2.6.10|	2021-06-07|2021-06-01|2020-08-20|2019-12-13|2019-03-20|
jade	pug-code-gen@3.0.2|pug-lexer@5.0.1|pug-runtime@3.0.1|pug@3.0.1|pug@3.0.2|	2021-02-28|2021-02-28|2021-02-28|2021-02-28|2021-02-28|
awesometypescriptloader	v5.2.1|v5.2.0|v5.1.1|v5.1.0|v5.0.0|	2018-09-06|2018-06-21|2018-06-18|2018-06-10|2018-04-06|
mobxreact	6.3.1|7.0.0|6.3.0|6.2.5|v6.2.4|	2020-09-30|2020-09-30|2020-08-27|2020-07-29|2020-07-28|
web3	v1.5.1-rc.1|v1.5.1-rc.0|v3.0.0|v1.5.0|web3-core-requestmanager@4.0.0-alpha.0|	2021-08-04|2021-07-31|2021-07-29|2021-07-28|2021-07-26|
jsdoc	3.6.7|@jsdoc/cli@0.2.4|@jsdoc/cli@0.2.5|@jsdoc/core@0.3.3|@jsdoc/core@0.4.0|	2021-05-14|2020-12-24|2020-12-24|2020-12-24|2020-12-24|
tslint	6.1.3|6.1.2|6.1.1|6.1.0|6.0.0|	2020-07-31|2020-04-26|2020-04-01|2020-03-10|2020-01-21|
eslintpluginreact	v7.24.0|v7.23.2|v7.23.1|v7.23.0|v7.22.0|	2021-05-29|2021-04-08|2021-03-23|2021-03-22|2020-12-29|
socketioclient	4.1.3|4.1.2|4.1.0|4.1.1|4.0.2|	2021-07-10|2021-05-17|2021-05-11|2021-05-11|2021-05-06|
socketio	4.1.3|4.1.2|4.1.1|4.1.0|4.0.2|	2021-07-10|2021-05-17|2021-05-12|2021-05-11|2021-05-06|
joi	v17.4.2|v17.4.1|v17.4.0|v17.3.0|v17.2.1|	2021-08-01|2021-07-10|2021-02-07|2020-10-24|2020-08-19|
elasticsearch	v16.7.1|v16.7.0|v16.6.0|v16.4.0|v16.3.0|	2020-03-26|2020-03-25|2020-01-15|2019-09-18|2019-07-10|
webpackcli	@webpack-cli/configtest@1.0.4|@webpack-cli/generators@2.2.0|@webpack-cli/info@1.3.0|@webpack-cli/serve@1.5.0|@webpack-cli/serve@1.5.1|	2021-06-07|2021-06-07|2021-06-07|2021-06-07|2021-06-07|
pino	v7.0.0-rc.2|v6.13.0|v7.0.0-rc.1|v6.12.0|v6.11.3|	2021-07-23|2021-07-21|2021-07-21|2021-07-10|2021-04-16|
discordjs	12.5.3|12.5.2|12.5.1|12.5.0|12.4.1|	2021-04-02|2021-03-31|2020-11-26|2020-11-22|2020-10-24|
eslintpluginimport	v2.23.4|v2.23.3|v2.23.2|v2.23.1|resolvers/webpack/v0.13.1|	2021-05-29|2021-05-21|2021-05-15|2021-05-14|2021-05-13|
serialport	@serialport/bindings@9.2.0|v9.2.0|@serialport/bindings@9.1.0|v9.1.0|@serialport/bindings@9.0.8|	2021-06-19|2021-06-19|2021-05-28|2021-05-28|2021-05-24|
ws	8.0.0|7.5.3|7.5.2|7.5.1|7.5.0|	2021-07-28|2021-07-10|2021-07-04|2021-06-29|2021-06-16|
nanoid	3.1.23|3.1.22|3.1.21|3.1.20|3.1.19|	2021-05-10|2021-03-15|2021-03-11|2020-12-01|2020-11-30|
raven	6.10.0|6.10.0-beta.3|6.10.0-beta.2|6.10.0-beta|6.9.0|	2021-07-22|2021-07-20|2021-07-19|2021-07-16|2021-07-12|
puppeteer	v10.2.0|v10.1.0|v10.0.0|v9.1.1|v9.1.0|	2021-08-04|2021-06-29|2021-05-31|2021-05-05|2021-05-03|
reactdatepicker	v4.1.1|v4.1.0|v4.0.0|v3.8.0|v3.7.0|	2021-06-02|2021-05-30|2021-05-29|2021-04-19|2021-03-31|
bower	v1.8.11|v1.8.12|v1.8.10|v1.8.8|v1.8.5|	2021-01-18|2021-01-18|2021-01-14|2019-01-23|2019-01-17|
oclifconfig	v1.17.0|v1.16.0|v1.15.0|v1.15.1|v1.14.0|	2020-08-03|2020-06-29|2020-04-14|2020-04-14|2020-02-06|
restify	v8.5.1|v8.5.0|v8.4.1|v8.4.0|v8.3.3|	2019-12-13|2019-12-02|2019-11-27|2019-07-31|2019-06-04|
got	v12.0.0-beta.2|v12.0.0-beta.1|v11.8.2|v11.8.1|v11.8.0|	2021-08-04|2021-07-22|2021-02-26|2020-12-10|2020-10-20|
nyc	v15.1.0|v15.0.1|v15.0.0|v14.1.1|v14.1.0|	2020-05-31|2020-04-02|2019-12-20|2019-05-09|2019-04-24|
reactselect	react-select@5.0.0-beta.0|react-select@4.3.1|v4.3.1|react-select@4.3.0|react-select@4.2.1|	2021-07-09|2021-05-11|2021-05-11|2021-03-19|2021-03-05|
lodash	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashmerge	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashget	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashdebounce	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashisequal	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashclonedeep	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashthrottle	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashassign	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashes	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashomit	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashpick	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashdefaults	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashcamelcase	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
lodashtemplate	4.17.21|4.17.21-es|4.17.21-npm|4.17.20-es|4.17.20|	2021-02-20|2021-02-20|2021-02-20|2020-12-20|2020-08-14|
i18next	v20.3.5|v20.3.4|v20.3.3|v20.3.2|v20.3.1|	2021-07-25|2021-07-20|2021-07-14|2021-06-17|2021-05-28|
mobx	mobx@6.3.2|mobx-react@7.2.0|mobx@6.3.1|mobx@6.3.0|mobx-undecorate@1.1.0|	2021-05-23|2021-05-18|2021-05-18|2021-04-23|2021-04-10|
rxjs	7.3.0|7.2.0|7.1.0|7.0.1|7.0.0|	2021-07-28|2021-07-05|2021-05-21|2021-05-11|2021-04-29|
request	v2.88.0|v2.88.1|v2.87.0|v2.87.1|v2.86.0|	2018-08-10|2018-08-10|2018-05-21|2018-05-21|2018-05-15|
typeorm	0.2.36|0.2.35|0.2.34|0.2.33|0.2.32|	2021-07-30|2021-07-28|2021-06-03|2021-06-01|2021-03-30|
reduxform	v8.3.7|v8.3.6|v8.3.4|v8.3.5|v7.4.3|	2020-11-17|2020-05-29|2020-04-12|2020-04-12|2020-04-09|
browserslist	4.16.7|4.16.6|4.16.5|4.16.4|4.16.2|	2021-08-03|2021-04-30|2021-04-22|2021-04-12|2021-01-31|
reactrouterdom	v0.0.0-experimental-ffd8c7d0|v6.0.0-beta.0|v0.0.0-experimental-b1ff171f|v6.0.0-alpha.5|v5.2.0|	2020-06-19|2020-06-19|2020-05-27|2020-05-15|2020-05-08|
reactrouter	v0.0.0-experimental-ffd8c7d0|v6.0.0-beta.0|v0.0.0-experimental-b1ff171f|v6.0.0-alpha.5|v5.2.0|	2020-06-19|2020-06-19|2020-05-27|2020-05-15|2020-05-08|
tsjest	v27.0.4|v27.0.3|v27.0.2|v27.0.1|v27.0.0|	2021-07-21|2021-06-06|2021-05-31|2021-05-27|2021-05-26|
reactvirtualized	v9.22.3|v9.22.0|v9.22.1|v9.22.2|9.21.2|	2020-12-18|2020-08-10|2020-08-10|2020-08-10|2019-11-11|
corejs	v3.16.0|v3.15.2|v3.15.1|v3.15.0|v3.14.0|	2021-07-30|2021-06-29|2021-06-23|2021-06-21|2021-06-05|
pg	pg-cursor@2.7.0|pg-cursor@2.7.1|pg-pool@3.4.0|pg-pool@3.4.1|pg-query-stream@4.2.0|	2021-07-27|2021-07-27|2021-07-27|2021-07-27|2021-07-27|
preact	10.5.14|10.5.13|10.5.12|10.5.11|10.5.10|	2021-07-01|2021-03-14|2021-01-26|2021-01-20|2021-01-14|
googleapis	admin-v3.0.1|admob-v0.3.1|alertcenter-v3.1.1|androiddeviceprovisioning-v1.1.0|androidmanagement-v1.1.1|	2021-07-24|2021-07-24|2021-07-24|2021-07-24|2021-07-24|
emberclihtmlbars	v5.7.1|v5.7.0|v5.6.5|v5.6.4|v5.6.3|	2021-03-18|2021-03-17|2021-03-12|2021-03-07|2021-03-04|
yargs	v17.1.0|v17.1.0-deno|v17.0.1|v17.0.1-deno|v17.0.0|	2021-08-04|2021-08-04|2021-05-03|2021-05-03|2021-05-02|
mocha	v9.0.3|v9.0.2|v9.0.1|v9.0.0|v8.4.0|	2021-07-25|2021-07-03|2021-06-18|2021-06-07|2021-05-07|
styledcomponents	v5.3.0|v5.2.3|v5.2.2|v5.2.1|v5.2.0|	2021-05-04|2021-03-31|2021-03-30|2020-10-30|2020-09-04|
nock	v13.1.1|v13.1.0|v13.0.11|v13.0.10|v13.0.9|	2021-07-05|2021-06-01|2021-03-07|2021-03-02|2021-02-26|
webpackdevserver	v4.0.0-rc.0|v4.0.0-beta.3|v4.0.0-beta.2|v4.0.0-beta.1|v3.11.2|	2021-07-19|2021-05-06|2021-04-06|2021-03-23|2021-01-13|
recast	v0.20.5|v0.20.4|v0.20.3|v0.20.2|v0.20.0|	2021-07-22|2020-10-12|2020-08-30|2020-08-24|2020-08-23|
standard	v16.0.3|v16.0.2|v16.0.1|v16.0.0|v15.0.1|	2020-11-17|2020-11-11|2020-10-30|2020-10-28|2020-10-27|
knex	0.95.8|0.95.5|0.95.3|0.95.2|0.95.0|	2021-07-25|2021-05-11|2021-03-25|2021-03-11|2021-03-03|
jsdom	17.0.0|16.7.0|16.6.0|16.5.3|16.5.2|	2021-08-02|2021-08-01|2021-05-23|2021-04-11|2021-03-28|
github	v18.9.0|v18.8.0|v18.7.2|v18.7.1|v18.7.0|	2021-08-03|2021-08-02|2021-07-29|2021-07-23|2021-07-21|
octokitrest	v18.9.0|v18.8.0|v18.7.2|v18.7.1|v18.7.0|	2021-08-03|2021-08-02|2021-07-29|2021-07-23|2021-07-21|
jest	v27.0.6|v27.0.5|v27.0.4|v27.0.2|v27.0.3|	2021-06-28|2021-06-22|2021-06-03|2021-05-29|2021-05-29|
babeljest	v27.0.6|v27.0.5|v27.0.4|v27.0.2|v27.0.3|	2021-06-28|2021-06-22|2021-06-03|2021-05-29|2021-05-29|
jestresolve	v27.0.6|v27.0.5|v27.0.4|v27.0.2|v27.0.3|	2021-06-28|2021-06-22|2021-06-03|2021-05-29|2021-05-29|
quill	v1.3.7|v2.0.0-dev.0|v1.3.6|v1.3.5|v1.3.4|	2019-09-08|2018-07-01|2018-03-11|2018-01-22|2017-11-05|
reactintl	@formatjs/cli@4.2.29|@formatjs/ecma402-abstract@1.9.5|@formatjs/editor@1.1.25|@formatjs/icu-messageformat-parser@2.0.8|@formatjs/icu-skeleton-parser@1.2.9|	2021-07-23|2021-07-23|2021-07-23|2021-07-23|2021-07-23|
ajv	v8.6.2|v8.6.1|v8.6.0|v8.5.0|v8.4.0|	2021-07-15|2021-07-04|2021-06-06|2021-05-20|2021-05-14|
reactbootstrap	v2.0.0-beta.4|v2.0.0-beta.3|v2.0.0-beta.2|v2.0.0-beta.1|v1.6.1|	2021-07-19|2021-07-15|2021-06-18|2021-06-17|2021-06-03|
react	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
reactdom	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
createreactclass	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
eslintpluginreacthooks	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
reactaddonscsstransitiongroup	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
reacttestrenderer	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
reactaddonsshallowcompare	v17.0.2|v0.0.0-experimental-27659559e|v17.0.1|v17.0.0|0.14.10|	2021-02-18|2021-01-04|2020-10-21|2020-10-20|2020-10-14|
browsersync	v2.27.5|v2.27.4|v2.27.2|v2.27.3|v2.27.0|	2021-07-27|2021-07-01|2021-06-26|2021-06-26|2021-06-24|
graphql	v15.5.1|v16.0.0-alpha.5|v16.0.0-alpha.4|v16.0.0-alpha.3|v16.0.0-alpha.3.experimental-stream-defer.2|	2021-06-20|2021-06-20|2021-06-14|2021-06-04|2021-06-04|
graphqltools	@graphql-tools/apollo-engine-loader@7.0.2|@graphql-tools/batch-delegate@8.0.4|@graphql-tools/batch-execute@8.0.2|@graphql-tools/code-file-loader@7.0.2|@graphql-tools/delegate@8.0.4|	2021-08-04|2021-08-04|2021-08-04|2021-08-04|2021-08-04|
karma	v6.3.4|v6.3.3|v6.3.2|v6.3.1|v6.3.0|	2021-06-14|2021-06-01|2021-03-29|2021-03-24|2021-03-23|
mongodb	v4.1.0|v4.0.1|v4.0.0|v3.6.10|v4.0.0-beta.6|	2021-08-03|2021-07-20|2021-07-13|2021-07-06|2021-07-01|
hapi	v20.1.5|v20.1.4|v20.1.3|v20.1.2|v20.1.1|	2021-06-28|2021-06-10|2021-05-10|2021-03-20|2021-03-15|
semanticuireact	v2.0.3|v2.0.2|v2.0.1|v2.0.0|v1.3.1|	2021-01-20|2021-01-13|2020-10-26|2020-10-01|2020-09-28|
autoprefixer	10.3.1|10.3.0|10.2.6|10.2.5|10.2.4|	2021-07-12|2021-07-10|2021-05-26|2021-03-05|2021-01-29|
eslint	v7.32.0|v7.31.0|v7.30.0|v7.29.0|v7.28.0|	2021-07-30|2021-07-17|2021-07-02|2021-06-18|2021-06-04|
sequelize	v6.6.5|v6.6.3|v6.6.4|v6.6.1|v6.6.2|	2021-07-06|2021-06-26|2021-06-26|2021-03-22|2021-03-22|
esm	3.2.24|3.2.25|3.2.23|3.2.22|3.2.21|	2019-05-16|2019-05-16|2019-05-15|2019-03-28|2019-03-27|
angularcdk	12.1.4|12.2.0-rc.0|12.1.3|12.1.2|12.1.1|	2021-07-28|2021-07-28|2021-07-21|2021-07-14|2021-06-30|
angularmaterial	12.1.4|12.2.0-rc.0|12.1.3|12.1.2|12.1.1|	2021-07-28|2021-07-28|2021-07-21|2021-07-14|2021-06-30|
postcss	8.3.6|8.3.5|8.3.3|8.3.4|7.0.36|	2021-07-21|2021-06-17|2021-06-14|2021-06-14|2021-06-10|
pm2	5.0.3|5.0.0|4.5.6|4.5.5|4.5.4|	2021-06-08|2021-06-07|2021-04-01|2021-02-25|2021-01-31|
browserify	v17.0.0|v16.5.2|v16.5.1|v16.5.0|v16.4.0|	2020-10-10|2020-08-03|2020-03-30|2019-08-08|2019-08-07|
jupyterlabapplication	@jupyterlab/application-extension@3.1.1|@jupyterlab/application-top@3.1.2|@jupyterlab/application@3.1.1|@jupyterlab/apputils-extension@3.1.2|@jupyterlab/apputils@3.1.1|	2021-08-04|2021-08-04|2021-08-04|2021-08-04|2021-08-04|
reactnative	v0.65.0-rc.3|v0.65.0-rc.2|v0.65.0-rc.1|v0.65.0-rc.0|v0.64.2|	2021-07-23|2021-06-18|2021-06-17|2021-06-09|2021-06-03|
angularcore	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularcommon	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
zonejs	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularplatformbrowser	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularcompiler	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularforms	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularplatformbrowserdynamic	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularrouter	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularhttp	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularanimations	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularcompilercli	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
angularplatformserver	12.1.5|12.2.0|13.0.0-next.0|12.1.4|12.2.0-rc.0|	2021-08-04|2021-08-04|2021-08-04|2021-07-28|2021-07-28|
bootstrap	v5.1.0|v5.0.2|v5.0.1|v5.0.0|v5.0.0-beta3|	2021-08-04|2021-06-22|2021-05-13|2021-05-05|2021-03-23|
electron	v16.0.0-nightly.20210804|v11.4.11|v12.0.16|v13.1.8|v16.0.0-nightly.20210803|	2021-08-04|2021-08-03|2021-08-03|2021-08-03|2021-08-03|
angulardevkitcore	12.2.0|12.1.4|12.2.0-rc.0|12.1.3|12.2.0-next.3|	2021-08-04|2021-07-28|2021-07-28|2021-07-21|2021-07-21|
angulardevkitschematics	12.2.0|12.1.4|12.2.0-rc.0|12.1.3|12.2.0-next.3|	2021-08-04|2021-07-28|2021-07-28|2021-07-21|2021-07-21|
awssdk	v2.961.0|v2.960.0|v2.959.0|v2.958.0|v2.957.0|	2021-08-04|2021-08-03|2021-08-02|2021-07-30|2021-07-29|
reactapollo	@apollo/react-components@4.0.0|@apollo/react-hoc@4.0.0|@apollo/react-hooks@4.0.0|@apollo/react-ssr@4.0.0|@apollo/react-testing@4.0.0|	2020-07-20|2020-07-20|2020-07-20|2020-07-20|2020-07-20|
materialuicore	v4.12.3|v5.0.0-beta.2|v4.12.2|v5.0.0-beta.1|v4.12.1|	2021-07-30|2021-07-26|2021-07-19|2021-07-14|2021-07-07|
materialui	v4.12.3|v5.0.0-beta.2|v4.12.2|v5.0.0-beta.1|v4.12.1|	2021-07-30|2021-07-26|2021-07-19|2021-07-14|2021-07-07|
materialuiicons	v4.12.3|v5.0.0-beta.2|v4.12.2|v5.0.0-beta.1|v4.12.1|	2021-07-30|2021-07-26|2021-07-19|2021-07-14|2021-07-07|
webpack	v5.48.0|v5.47.1|v5.47.0|v5.46.0|v5.45.0|	2021-08-02|2021-07-29|2021-07-27|2021-07-22|2021-07-16|
babelpluginproposalclassproperties	v7.15.0|v7.14.9|v7.14.8|v7.14.7|v7.14.6|	2021-08-04|2021-08-01|2021-07-20|2021-06-21|2021-06-14|
